2,0,0.1,0.02,9.04,0
3,0,0.05,0.02,7.77,0
4,0,0.05,0.02,0,0
5,0,0.16,0.12,16.85,0
7,0,0.09,0.05,3.12,0
8,0,0.07,0.03,0,0
9,0,0.08,0.06,19.14,0
10,0,0.11,0.07,0.12,0
11,0,0.13,0.08,36.45,0
12,0,0.1,0.1,36.13,0
14,0,0.11,0.06,0,0
15,0,0.1,0.13,17.97,0
16,0,1.96,0.14,8.45,0
17,0,5.16,0.23,0,0
18,0,0.08,0.08,20.81,0
20,0,0.08,0.09,0,0
21,0,0.07,0.05,10.69,0
22,0,0.11,0.05,14.74,0
23,0,0.06,0.06,0,0
24,0,0.11,0.08,20.42,0
26,0,0.07,0.06,0,0
27,0,0.1,0.03,10.14,0
28,0,0.03,0,15.32,0
29,0,0.04,0.03,0,0
